Date / Time,CPU Usage %,Teperature C
2018-12-08 13:39:48,9.9,51
2018-12-08 13:39:51,1.6,50.5
2018-12-08 13:39:54,5.7,50.5
2018-12-08 13:39:57,4.3,50.5
2018-12-08 13:40:01,9.2,50.5
2018-12-08 13:40:04,1.9,50.5
2018-12-08 13:40:08,5.9,51
2018-12-08 13:40:11,7.7,50.5
2018-12-08 13:40:14,6.9,51
2018-12-08 13:40:18,2.8,51
2018-12-08 13:40:21,6.3,50.5
2018-12-08 13:40:24,7.8,51
2018-12-08 13:40:28,6,50.5
2018-12-08 13:40:31,1.4,51
2018-12-08 13:40:35,6.8,51
2018-12-08 13:40:38,6.4,51
2018-12-08 13:40:42,5.5,50.5
2018-12-08 13:40:45,1.8,51
2018-12-08 13:40:49,11.1,51
2018-12-08 13:40:52,4.1,51.5
2018-12-08 13:40:55,8.8,50.5
2018-12-08 13:40:59,1.9,50.5
2018-12-08 13:41:03,8.4,51
2018-12-08 13:41:06,3,50.5
2018-12-08 13:41:09,6.4,50.5
2018-12-08 13:41:13,5.2,50.5
2018-12-08 13:41:16,9.1,51
2018-12-08 13:41:19,4.3,51
2018-12-08 13:41:23,5.2,51.5
2018-12-08 13:41:26,2.2,51
2018-12-08 13:41:29,11.2,51
2018-12-08 13:41:32,1.9,51
2018-12-08 13:41:36,6.2,50.5
2018-12-08 13:41:39,2.9,51
2018-12-08 13:41:43,8.7,51.5
2018-12-08 13:41:46,1.9,51.5
2018-12-08 13:41:49,6.1,51.5
2018-12-08 13:41:53,4.7,51
2018-12-08 13:41:56,10,51.5
2018-12-08 13:41:59,1.8,50.5
2018-12-08 13:42:02,5.8,51.5
2018-12-08 13:42:06,7.4,51.5
2018-12-08 13:42:09,7.4,51.5
2018-12-08 13:42:13,1.5,51
2018-12-08 13:42:16,8.2,50.5
2018-12-08 13:42:19,6.2,51.5
2018-12-08 13:42:22,7.4,51.5
2018-12-08 13:42:26,1.8,50.5
2018-12-08 13:42:29,5.4,51.5
2018-12-08 13:42:32,6.7,51
2018-12-08 13:42:36,6,51
2018-12-08 13:42:40,1.7,51.5
2018-12-08 13:42:43,5,50.5
2018-12-08 13:42:46,7,51.5
2018-12-08 13:42:49,5.4,51.5
2018-12-08 13:42:53,1.7,50.5
2018-12-08 13:42:57,8,51
2018-12-08 13:43:00,5,51.5
2018-12-08 13:43:04,3.7,50.5
2018-12-08 13:43:07,5.4,51.5
2018-12-08 13:43:11,9.8,51.5
2018-12-08 13:43:14,3.8,51.5
2018-12-08 13:43:17,6,51.5
2018-12-08 13:43:21,4.1,51.5
2018-12-08 13:43:24,7.9,51.5
2018-12-08 13:43:27,3.5,51.5
2018-12-08 13:43:31,3.8,51
2018-12-08 13:43:35,5.9,51.5
2018-12-08 13:43:38,4.4,51.5
2018-12-08 13:43:41,7.7,52.1
2018-12-08 13:43:45,1.5,51.5
2018-12-08 13:43:48,7.8,51.5
2018-12-08 13:43:51,4.2,51.5
2018-12-08 13:43:55,6.2,51
2018-12-08 13:43:58,4.8,51.5
2018-12-08 13:44:01,9,51.5
2018-12-08 13:44:05,3.6,52.1
2018-12-08 13:44:08,5.2,51.5
2018-12-08 13:44:11,1.5,51.5
2018-12-08 13:44:15,10.2,51.5
2018-12-08 13:44:18,3.6,52.1
2018-12-08 13:44:21,5.4,52.1
2018-12-08 13:44:25,1.5,51.5
2018-12-08 13:44:29,11.3,51.5
2018-12-08 13:44:32,2.5,51.5
2018-12-08 13:44:36,5,51.5
2018-12-08 13:44:39,4.3,51
2018-12-08 13:44:42,9.7,51.5
2018-12-08 13:44:45,2.6,52.1
2018-12-08 13:44:49,6.2,51.5
2018-12-08 13:44:52,5.6,52.1
2018-12-08 13:44:56,6.9,51.5
2018-12-08 13:44:59,2,51.5
2018-12-08 13:45:02,6.9,51.5
2018-12-08 13:45:06,7.5,51.5
2018-12-08 13:45:09,7,51.5
